wort,wortart
Geburtsjahr,Substantiv
Geburtsort,Substantiv
Geburtstag,Substantiv
gefallen,Verb
gegen,Präposition
gehen,Verb
gehören,Verb
gelb,Adjektiv
Geld,Substantiv
Gemüse,Substantiv
Gepäck,Substantiv
gerade,Adverb
geradeaus,Adverb
gern(e),Adverb
Geschäft,Substantiv
Geschenk,Substantiv
Geschwister,Substantiv
Gespräch,Substantiv
gestern,Adverb
gestorben,Verb
Getränk,Substantiv
Gewicht,Substantiv
gewinnen,Verb
Glas,Substantiv
glauben,Verb
gleich,Adjektiv
gleich,Adverb
gleich,Partikel
Gleis,Substantiv
Glück,Substantiv
glücklich,Adjektiv
Glückwunsch,Substantiv
Grad,Substantiv
Gramm,Substantiv
gratulieren,Verb
grau,Adjektiv
grillen,Verb
groß,Adjektiv
Größe,Substantiv
Großeltern,Substantiv
Großmutter,Substantiv
Großvater,Substantiv
Gruppe,Substantiv
Gruß,Substantiv
grün,Adjektiv
gültig,Adjektiv
günstig,Adjektiv
gut,Adjektiv
Guten Appetit,Idiom
Haar,Substantiv
haben,Verb
Hähnchen,Substantiv
Halbpension,Substantiv
Halle,Substantiv
hallo,Interjektion
halten,Verb
Haltestelle,Substantiv
Hand,Substantiv
Handy,Substantiv
Haus,Substantiv
Hausaufgabe,Substantiv
Hausfrau,Substantiv
Hausmann,Substantiv
Heimat,Substantiv
heiraten,Verb
heißen,Verb
helfen,Verb
hell,Adjektiv
Herbst,Substantiv
Herd,Substantiv
Herr,Substantiv
herzlich,Adjektiv
heute,Adverb
hier,Adverb
Hilfe,Substantiv
hinten,Adverb
Hobby,Substantiv
hoch,Adjektiv
Hochzeit,Substantiv
holen,Verb
hören,Verb
Hotel,Substantiv
Hund,Substantiv
Hunger,Substantiv
immer,Adverb
in,Präposition
Information,Substantiv
international,Adjektiv
Internet,Substantiv
ja,Partikel
Jacke,Substantiv
Jahr,Substantiv
Januar,Substantiv
jed*,Pronomen
jetzt,Adverb
Job,Substantiv
