wort,tags,hinweis,fremd:en,fremd_hinweis:en,fremd:hu,fremd_hinweis:hu
Beruf,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
besichtigen,"UD::Goethe::A1,UD::UniLeipzig::13",,,,,
bestellen,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
besuchen,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Bett,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
bezahlen,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Bier,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Bild,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
Birne,"UD::Goethe::A1,UD::UniLeipzig::15",,,,,
Bitte,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
bitten,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
bleiben,"UD::Goethe::A1,UD::UniLeipzig::7",,,,,
Bleistift,"UD::Goethe::A1,UD::UniLeipzig::15",,,,,
Blick,"UD::Goethe::A1,UD::UniLeipzig::7",,,,,
Blume,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
brauchen,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
Brief,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Briefmarke,"UD::Goethe::A1,UD::UniLeipzig::15",,,,,
bringen,"UD::Goethe::A1,UD::UniLeipzig::7",,,,,
Brot,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Brötchen,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
Bruder,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Buch,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
Buchstabe,"UD::Goethe::A1,UD::UniLeipzig::14",,,,,
buchstabieren,"UD::Goethe::A1,UD::UniLeipzig::17",,,,,
Bus,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Butter,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
Café,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
CD,"UD::Goethe::A1,UD::UniLeipzig::13",,,,,
Cent,"UD::Goethe::A1,UD::UniLeipzig::9",„5 Cent“ aber „mehrere Arten von Cents“,,,,
Chef,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Chefin,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Computer,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Dame,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Dank,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
danken,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
Datum,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
dauern,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Deutschland,"UD::Goethe::A1,UD::UniLeipzig::5","Kein Artikel verwendet, ausser Deutschland als Subjekt oder Objekt im Satz steht",,,,
Dezember,"UD::Goethe::A1,UD::UniLeipzig::7",,,,,
Dienstag,"UD::Goethe::A1,UD::UniLeipzig::6",,,,,
Disco,"UD::Goethe::A1,UD::UniLeipzig::13",,,,,
Doktor,"UD::Goethe::A1,UD::UniLeipzig::13",,,,,
Doktorin,"UD::Goethe::A1,UD::UniLeipzig::18",,,,,
Donnerstag,"UD::Goethe::A1,UD::UniLeipzig::6",,,,,
Doppelzimmer,"UD::Goethe::A1,UD::UniLeipzig::15",,,,,
Dorf,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
drucken,"UD::Goethe::A1,UD::UniLeipzig::14",,,,,
Drucker,"UD::Goethe::A1,UD::UniLeipzig::13",,,,,
drücken,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Durchsage,"UD::Goethe::A1,UD::UniLeipzig::15",,,,,
Durst,"UD::Goethe::A1,UD::UniLeipzig::13",,,,,
Dusche,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
duschen,"UD::Goethe::A1,UD::UniLeipzig::13",,,,,
dürfen,"UD::Goethe::A1,UD::UniLeipzig::7",,,,,
E-Mail,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Ecke,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Ehefrau,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Ehemann,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Ei,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
Eingang,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
einkaufen,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
einladen,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
Einladung,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
einsteigen,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
Eintritt,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Einzelzimmer,"UD::Goethe::A1,UD::UniLeipzig::15",,,,,
Eltern,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
Empfänger,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
